# lines : 20
# colliders : electron  

N (cm-3);           Lower Level;        Upper Level;        Multiplet;          Wavelength (A);    C (A/cm-3);        electron a0;        electron a1;        electron a2;        electron b0;        electron b1;        electron b2;        
1.000e+17;          5s2.5p4(1D2).6s [2];5s2.5p4(1D2).6p [1]o;;                   5054;               ;                   4.33915;            -1.7935;            0.16111;            0.16703;            -0.20249;           0.02558;            
1.000e+17;          5s2.5p4(1D2).6s [2];5s2.5p4(1D2).6p [2]o;;                   4720;               ;                   4.08282;            -1.69819;           0.14646;            0.23054;            -0.20797;           0.02166;            
1.000e+17;          5s2.5p4(1D2).6s [2];5s2.5p4(1D2).6p [3]o;;                   5364;               ;                   4.1384;             -1.65932;           0.14144;            -0.4317;            0.12262;            -0.02084;           
1.000e+17;          5s2.5p4(3P0).6s [0];5s2.5p4(3P0).6p [1]o;;                   4983;               ;                   4.72029;            -1.97315;           0.18091;            1.14148;            -0.71048;           0.0819;             
1.000e+17;          5s2.5p4(3P1).6s [1];5s2.5p4(3P1).6p [0]o;;                   5878;               ;                   5.17474;            -2.14271;           0.20235;            1.20943;            -0.7387;            0.08574;            
1.000e+17;          5s2.5p4(3P1).6s [1];5s2.5p4(3P1).6p [1]o;;                   4947;               ;                   5.0654;             -2.16146;           0.20498;            1.87733;            -1.07456;           0.12961;            
1.000e+17;          5s2.5p4(3P1).6s [1];5s2.5p4(3P1).6p [2]o;;                   5263;               ;                   5.05662;            -2.11198;           0.19859;            1.29172;            -0.7804;            0.0913;             
1.000e+17;          5s2.5p4(3P2).5d [4];5s2.5p4(3P2).5f [5]o;;                   2008;               ;                   0.63536;            -0.39045;           0.04026;            -2.34745;           1.50448;            -0.19207;           
1.000e+17;          5s2.5p4(3P2).5d [4];5s2.5p4(3P2).6p [3]o;;                   7535;               ;                   4.6258;             -1.79733;           0.15741;            0.32722;            -0.19991;           0.02369;            
1.000e+17;          5s2.5p4(3P2).6p [1]o;5s2.5p4(3P2).6d [1];;                   4373;               ;                   1.01026;            -0.34243;           0.02161;            -3.05355;           1.56507;            -0.18023;           
1.000e+17;          5s2.5p4(3P2).6p [1]o;5s2.5p4(3P2).6d [2];;                   5034;               ;                   5.68406;            -2.52874;           0.2726;             -1.58979;           0.69892;            -0.0606;            
1.000e+17;          5s2.5p4(3P2).6p [2]o;5s2.5p4(3P2).6d [1];;                   3752;               ;                   0.89158;            -0.3505;            0.02259;            -2.76243;           1.43603;            -0.16503;           
1.000e+17;          5s2.5p4(3P2).6p [2]o;5s2.5p4(3P2).6d [2];;                   4228;               ;                   5.58466;            -2.55472;           0.27563;            -1.44096;           0.63834;            -0.05308;           
1.000e+17;          5s2.5p4(3P2).6p [2]o;5s2.5p4(3P2).6d [3];;                   3986;               ;                   3.02513;            -1.3786;            0.14367;            -3.68566;           1.8072;             -0.20141;           
1.000e+17;          5s2.5p4(3P2).6p [3]o;5s2.5p4(3P2).6d [2];;                   4548;               ;                   5.62942;            -2.53064;           0.2718;             -1.37364;           0.59013;            -0.04711;           
1.000e+17;          5s2.5p4(3P2).6p [3]o;5s2.5p4(3P2).6d [3];;                   4269;               ;                   3.17548;            -1.40836;           0.14628;            -3.67968;           1.78539;            -0.19799;           
1.000e+17;          5s2.5p4(3P2).6p [3]o;5s2.5p4(3P2).6d [4];;                   4404;               ;                   5.07397;            -2.28608;           0.24497;            -2.04605;           0.92995;            -0.08881;           
1.000e+17;          5s2.5p4(3P2).6s [2];5s2.5p4(3P2).6p [1]o;;                   4570;               ;                   4.28787;            -1.82245;           0.16144;            -128.87057;         64.32152;           -8.00931;           
1.000e+17;          5s2.5p4(3P2).6s [2];5s2.5p4(3P2).6p [2]o;;                   5527;               ;                   4.32389;            -1.76221;           0.154;              -0.38819;           0.07469;            -0.01758;           
1.000e+17;          5s2.5p4(3P2).6s [2];5s2.5p4(3P2).6p [3]o;;                   5062;               ;                   4.28078;            -1.76357;           0.15413;            -132.84768;         66.30552;           -8.255;             

